Country;Region;Party;Year became leader;Year ended as leader;Party leader
Australia;Australian Capital Territory;Labor;1987;1996;Rosemary Follett
Australia;Australian Capital Territory;Labor;1996;1997;Andrew Whitecross
Australia;Australian Capital Territory;Labor;1997;1998;Wayne Berry
Australia;Australian Capital Territory;Labor;1998;2011;Jon Stanhope
Australia;Australian Capital Territory;Labor;2011;2014;Gallagher
Australia;Australian Capital Territory;Labor;2014;2018;Andrew Barr
Australia;New South Wales;Labor;1939;1947;William McKell
Australia;New South Wales;Labor;1947;1952;James McGirr
Australia;New South Wales;Labor;1952;1959;Joseph Cahill
Australia;New South Wales;Labor;1959;1964;Robert Heffron
Australia;New South Wales;Labor;1964;1968;Jack Renshaw
Australia;New South Wales;Labor;1968;1973;Patrick Hills
Australia;New South Wales;Labor;1973;1986;Nevill Wran
Australia;New South Wales;Labor;1986;1988;Barrie Unsworth
Australia;New South Wales;Labor;1988;2005;Bob Carr
Australia;New South Wales;Labor;2005;2008;Morris Iemma
Australia;New South Wales;Labor;2008;2009;Nathan Rees
Australia;New South Wales;Labor;2009;2011;Kristina Keneally
Australia;New South Wales;Labor;2011;2014;John Robertson
Australia;New South Wales;Labor;2014;2015;Linda Burney
Australia;New South Wales;Labor;2015;2018;Luke Foley
Australia;New South Wales;Labor;2018;2018;Michael Daley
Australia;Northern Territory;Labor;1977;1981;Jon Isaacs
Australia;Northern Territory;Labor;1981;1986;Bob Collins
Australia;Northern Territory;Labor;1986;1990;Terry Smith
Australia;Northern Territory;Labor;1990;1996;Brian Ede
Australia;Northern Territory;Labor;1996;1999;Maggie Hickey
Australia;Northern Territory;Labor;1999;2007;Clare Martin
Australia;Northern Territory;Labor;2007;2012;Paul Henderson
Australia;Northern Territory;Labor;2012;2015;Delia Lawrie
Australia;Northern Territory;Labor;2015;2018;Michael Gunner
Australia;Queensland;Labor;1942;1946;Frank Cooper
Australia;Queensland;Labor;1946;1952;Ned Hanlon
Australia;Queensland;Labor;1952;1957;Vince Gair
Australia;Queensland;Labor;1957;1958;Leslie Good
Australia;Queensland;Labor;1958;1958;James Donald
Australia;Queensland;Labor;1958;1966;John Duggan
Australia;Queensland;Labor;1966;1974;Jack Houston
Australia;Queensland;Labor;1974;1974;Perc Tucker
Australia;Queensland;Labor;1974;1978;Tom Burns
Australia;Queensland;Labor;1978;1982;Ed Casey
Australia;Queensland;Labor;1982;1984;Keith Wright
Australia;Queensland;Labor;1984;1988;Nev Warburton
Australia;Queensland;Labor;1988;1996;Wayne Goss
Australia;Queensland;Labor;1996;2007;Peter Beattie
Australia;Queensland;Labor;2007;2012;Anna Bligh
Australia;Queensland;Labor;2012;2018;Palaszczuk
Australia;South Australia;Labor;1938;1949;Robert Richards
Australia;South Australia;Labor;1949;1960;Mick O'Halloran
Australia;South Australia;Labor;1960;1967;Frank Walsh
Australia;South Australia;Labor;1967;1979;Donald Dunstan
Australia;South Australia;Labor;1979;1979;Des Corcoran
Australia;South Australia;Labor;1979;1992;John Bannon
Australia;South Australia;Labor;1992;1994;Lynn Arnold
Australia;South Australia;Labor;1994;2011;Mike Rann
Australia;South Australia;Labor;2011;2011;Weatherill
Australia;South Australia;Labor;2018;2018;Peter Malinauskas
Australia;Tasmania;Labor;1939;1958;Robert Cosgrove
Australia;Tasmania;Labor;1958;1975;Eric Reece
Australia;Tasmania;Labor;1958;1975;Eric Reece
Australia;Tasmania;Labor;1975;1977;Bill Neilson
Australia;Tasmania;Labor;1977;1981;Douglas Lowe
Australia;Tasmania;Labor;1981;1982;Harry Holgate
Australia;Tasmania;Labor;1982;1986;Ken Wriedt
Australia;Tasmania;Labor;1986;1988;Neil Batt
Australia;Tasmania;Labor;1988;1997;Michael Field
Australia;Tasmania;Labor;1997;2004;Jim Bacon
Australia;Tasmania;Labor;2004;2008;Paul Lennon
Australia;Tasmania;Labor;2008;2011;David Bartlett
Australia;Tasmania;Labor;2011;2014;Giddings
Australia;Tasmania;Labor;2014;2017;Bryan Green
Australia;Tasmania;Labor;2017;2018;Rebecca White
Australia;Victoria;Labor;1937;1957;John Cane (senior)
Australia;Victoria;Labor;1957;1958;Erni Shepherd
Australia;Victoria;Labor;1958;1967;Clive Stonham
Australia;Victoria;Labor;1967;1977;Clyde Holding
Australia;Victoria;Labor;1977;1981;Frank Wilkings
Australia;Victoria;Labor;1981;1990;John Cane
Australia;Victoria;Labor;1990;1993;Joan Kirner
Australia;Victoria;Labor;1993;1993;Jim Kennan
Australia;Victoria;Labor;1993;1999;John Brumby
Australia;Victoria;Labor;1999;2007;Steve Bracks
Australia;Victoria;Labor;2007;2010;John Brumby
Australia;Victoria;Labor;2010;2018;Daniel Andrews
Australia;West Autralia;Labor;1945;1951;Frank Wise
Australia;West Autralia;Labor;1951;1966;Albert Hawke
Australia;West Autralia;Labor;1967;1976;John Tonkin
Australia;West Autralia;Labor;1976;1978;Colin Jamieson
Australia;West Autralia;Labor;1978;1981;Ron Davies
Australia;West Autralia;Labor;1981;1988;Brian Burke
Australia;West Autralia;Labor;1988;1990;Peter McCallum Dowding
Australia;West Autralia;Labor;1990;1994;Carmen Lawrence
Australia;West Autralia;Labor;1994;1994;Ian Taylor
Australia;West Autralia;Labor;1994;1996;Jim McGinty
Australia;West Autralia;Labor;1996;2006;Geoff Gallop
Australia;West Autralia;Labor;2006;2008;Alan Carpenter
Australia;West Autralia;Labor;2008;2012;Eric Ripper
Australia;West Autralia;Labor;2012;2018;Mark McGowan
Australia;Australian Capital Territory;Liberal Party;1989;1991;Trevor Kaine
Australia;Australian Capital Territory;Liberal Party;1991;1991;Gary Humphries
Australia;Australian Capital Territory;Liberal Party;1991;1993;Trevor Kaine
Australia;Australian Capital Territory;Liberal Party;1993;2000;Kate Carnell
Australia;Australian Capital Territory;Liberal Party;2000;2002;Gary Humphries
Australia;Australian Capital Territory;Liberal Party;2002;2006;Brendan Smyth
Australia;Australian Capital Territory;Liberal Party;2006;2007;Bill Stefaniak
Australia;Australian Capital Territory;Liberal Party;2007;2013;Zed Seselja
Australia;Australian Capital Territory;Liberal Party;2013;2016;Jeremy Hanson
Australia;Australian Capital Territory;Liberal Party;2016;;Alistair Coe
Australia;New South Wales;Liberal Party;1945;1945;Reginald Weaver
Australia;New South Wales;Liberal Party;1945;1946;Alexader Mair
Australia;New South Wales;Liberal Party;1946;1954;Vernon Treatt
Australia;New South Wales;Liberal Party;1954;1955;Murray Robson 
Australia;New South Wales;Liberal Party;1955;1959; Pat Morton 
Australia;New South Wales;Liberal Party;1959;1975;Robert Askin 
Australia;New South Wales;Liberal Party;1975;1976;Tom Lewis 
Australia;New South Wales;Liberal Party;1976;1977;Eric Willis 
Australia;New South Wales;Liberal Party;1977;1978;Peter Coleman 
Australia;New South Wales;Liberal Party;1978;1981;John Mason 
Australia;New South Wales;Liberal Party;1981;1981;Bruce McDonald 
Australia;New South Wales;Liberal Party;1981;1983;John Dowd 
Australia;New South Wales;Liberal Party;1983;1992;Nick Greiner
Australia;New South Wales;Liberal Party;1992;1995;John Fahey
Australia;New South Wales;Liberal Party;1995;1998;Peter Collins
Australia;New South Wales;Liberal Party;1998;2002;Kerry Chikarovski
Australia;New South Wales;Liberal Party;2002;2005;John Brogden
Australia;New South Wales;Liberal Party;2005;2007;Peter Debnam
Australia;New South Wales;Liberal Party;2007;2014;Barry O'Farrell
Australia;New South Wales;Liberal Party;2014;2017;Mike Baird
Australia;New South Wales;Liberal Party;2017;;Gladys Berejiklian
Australia;Northern Territory;Country Liberal Party;1974;1977;Goff Letts
Australia;Northern Territory;Country Liberal Party;1977;1984;Paul Everingham
Australia;Northern Territory;Country Liberal Party;1984;1986;Ian Tuxworth
Australia;Northern Territory;Country Liberal Party;1986;1988;Stephen Hatton
Australia;Northern Territory;Country Liberal Party;1988;1995;Marshall Perron
Australia;Northern Territory;Country Liberal Party;1995;1999;Shane Stone
Australia;Northern Territory;Country Liberal Party;1999;2003;Denis Burke
Australia;Northern Territory;Country Liberal Party;2003;2005;Terry Mills
Australia;Northern Territory;Country Liberal Party;2005;2005;Denis Burke
Australia;Northern Territory;Country Liberal Party;2005;2008;Jodeen Carney
Australia;Northern Territory;Country Liberal Party;2008;2013;Terry Mills
Australia;Northern Territory;Country Liberal Party;2013;2016;Adam Giles
Australia;Northern Territory;Country Liberal Party;2016;;Gary Higgins
Australia;Queensland;Liberal Party;1965;1976;Gordon Chalk
Australia;Queensland;Liberal Party;1976;1978;William Knox
Australia;Queensland;Liberal Party;1978;1983;Llewellyn Edwards
Australia;Queensland;Liberal Party;1983;1983;Terry White
Australia;Queensland;Liberal Party;1983;1988;William Knox
Australia;Queensland;Liberal Party;1988;1990;Angus Innes
Australia;Queensland;Liberal Party;1990;1991;Denver Beanland
Australia;Queensland;Liberal Party;1991;1998;Joan Sheldon
Australia;Queensland;Liberal Party;1998;2001;David Watson
Australia;Queensland;Liberal Party;2001;2006;Bob Quinn
Australia;Queensland;Liberal Party;2006;2007;Bruce Flegg
Australia;Queensland;Liberal Party;2007;2008;Mark McArdle
Australia;Queensland;Liberal National Party;2008;2009;Lawrence Springborg
Australia;Queensland;Liberal National Party;2009;2011;John Paul Langbroek
Australia;Queensland;Liberal National Party;2011;2012;Jeff Seeney
Australia;Queensland;Liberal National Party;2012;2015;Campbell Newman
Australia;Queensland;Liberal National Party;2015;2016;Lawrence Springborg
Australia;Queensland;Liberal National Party;2016;2017;Tim Nicholls
Australia;Queensland;Liberal National Party;2017;2020;Deborah Kay Frecklington
Australia;South Australia;Liberal_and_Country_League;1933;1938;Richard Butler 
Australia;South Australia;Liberal_and_Country_League;1938;1966;Thomas Playford
Australia;South Australia;Liberal_and_Country_League;1966;1972;Steele Hall
Australia;South Australia;Liberal_and_Country_League / Liberal Party;1972;1975;Bruce Eastick
Australia;South Australia;Liberal Party;1975;1982;David Tonkin
Australia;South Australia;Liberal Party;1982;1990;John Olsen
Australia;South Australia;Liberal Party;1990;1992;Dale Baker 
Australia;South Australia;Liberal Party;1992;1996;Dean Brown
Australia;South Australia;Liberal Party;1996;2001;John Olsen
Australia;South Australia;Liberal Party;2001;2006;Rob Kerin
Australia;South Australia;Liberal Party;2006;2007;Evans
Australia;South Australia;Liberal Party;2007;2009;Hamilton-Smith
Australia;South Australia;Liberal Party;2009;2013;Redmond
Australia;South Australia;Liberal Party;2013;;Steven Marshall
Australia;Tasmania;Liberal Party;1945;1950;Neil Campbell
Australia;Tasmania;Liberal Party;1950;1056;Rex Townley
Australia;Tasmania;Liberal Party;1956;1960;Tim Jackson
Australia;Tasmania;Liberal Party;1960;1972;Angus Bethune
Australia;Tasmania;Liberal Party;1972;1979;Max Bingham
Australia;Tasmania;Liberal Party;1979;1981;Geoff Pearsall
Australia;Tasmania;Liberal Party;1981;1991;Robin Gray
Australia;Tasmania;Liberal Party;1991;1996;Ray Groom
Australia;Tasmania;Liberal Party;1996;1999;Tony Rundle
Australia;Tasmania;Liberal Party;1999;2001;Sue Napier
Australia;Tasmania;Liberal Party;2001;2002;Bob Cheek
Australia;Tasmania;Liberal Party;2002;2006;Rene Hidding
Australia;Tasmania;Liberal Party;2006;;Will Hodgman
Australia;Victoria;Liberal Party;1945;1951;Hon Thomas Hollway
Australia;Victoria;Liberal Party;1951;1952;Mr L G Norman
Australia;Victoria;Liberal Party;1952;1953;Mr Trevor Oldham
Australia;Victoria;Liberal Party;1953;1972;Hon Sir Henry Bolte
Australia;Victoria;Liberal Party;1972;1981;Hon Sir Rupert Hamer
Australia;Victoria;Liberal Party;1981;1982;Lindsay Thompson
Australia;Victoria;Liberal Party;1982;1989;Jeff Kennett
Australia;Victoria;Liberal Party;1989;1991;Alan Brown
Australia;Victoria;Liberal Party;1991;1999;Jeff Kennett
Australia;Victoria;Liberal Party;1999;2002;Denis Napthine
Australia;Victoria;Liberal Party;2002;2006;Robert Doyle
Australia;Victoria;Liberal Party;2006;2013;Ted Baillieu
Australia;Victoria;Liberal Party;2013;2014;Denis Napthine
Australia;Victoria;Liberal Party;2014;;Matthew Guy
Australia;West Autralia;Liberal Party;1945;1946;Sir Ross McDonald
Australia;West Autralia;Liberal Party;1946;1957;Sir Ross McLarty
Australia;West Autralia;Liberal Party;1957;1972;Sir David Brand
Australia;West Autralia;Liberal Party;1972;1982;Sir Charles Court
Australia;West Autralia;Liberal Party;1982;1984;Ray O’Connor
Australia;West Autralia;Liberal Party;1984;1986;Bill Hassell
Australia;West Autralia;Liberal Party;1986;1992;Barry MacKinnon
Australia;West Autralia;Liberal Party;1990;2001;Richard Court
Australia;West Autralia;Liberal Party;2001;2005;Colin Barnett
Australia;West Autralia;Liberal Party;2005;2006;Matt Birney
Australia;West Autralia;Liberal Party;2006;2008;Paul Omodei
Australia;West Autralia;Liberal Party;2008;2008;Troy Buswell
Australia;West Autralia;Liberal Party;2008;2017;Colin Barnett
Australia;West Autralia;Liberal Party;2017;;Mike Nahan
